name_of_faculty,Area of interest
Dr. Radhika N. ,Mobile Adhoc Networks
Dr. Radhika N. , Wireless Sensor Networks
Dr. Radhika N. , Smart Grids and Software Defined Networks
Abirami K.  ,Web Security
Dr. Gireeshkumar T. ,Machine Learning
Dr. Gireeshkumar T. , Algorithm
Dr. Gireeshkumar T. , Artificial Intelligence
Dr. Anantha Narayanan V. ,Mobile Computing
Dr. Anantha Narayanan V. , Embedded Systems
Dr. Anantha Narayanan V. , Wireless Heterogeneous Networks – QoS and Security
Dr. Anantha Narayanan V. , Internet of Things (IoT) - Node Design
Dr. Anantha Narayanan V. , Energy Optimisation
Dr. Anantha Narayanan V. , Communication Protocols
Dr. R. Karthi ,Data Analytics
Dr. R. Karthi , Machine Learning
Dr. R. Karthi , Application of Machine Learning Algorithms for Spatiotemporal Data Analysis
Dr. Rajathilagam B. ,Signal Processing
Dr. Rajathilagam B. , Applied Group Theory
Dr. Rajathilagam B. , Machine Learning
Dr. Rajathilagam B. , Deep Learning
Archanaa R.  ,Wireless Sensor Networks (WSN)
Archanaa R.  , Soft Computing
Dr. Govindarajan J. ,Computer Networking
Dr. Govindarajan J. , Software Engineering
Dr. Harini N. ,Security
Rimjhim Padam Singh ,Image and Video Processing
Rimjhim Padam Singh , Motion Analysis
Rimjhim Padam Singh , Text Mining
Sabarish B. A. ,Wireless Sensors
Sabarish B. A. , Data Mining
Ritwik M. ,Computer Malware Analysis
Ritwik M. , Threat Modeling
Ritwik M. , Privacy Preservation
Ritwik M. , Quantum Computing
Ritwik M. , Cyber Security - Risk Analysis
Ritwik M. , AI for Cyber Security
Ritwik M. , Computational Thinking
Ritwik M. , Engineering Pedagogy
Manu Madhavan ,Bioinformatics
Manu Madhavan ,  Machine Learning
Manu Madhavan ,  Natural Language Processing
Prathilothamai M. ,Big Data and Semantic Web
Ramya G. R. ,Predictive Analytics
Ramya G. R. , Social Influence Maximization
Ramya G. R. , Machine Learning
Ramya G. R. , Deep Learning
Ramya G. R. , Pattern Recognition
Dr. Lalithamani N. ,Biometrics
Dr. Lalithamani N. , Image Processing
Dayanand V. ,Social Network Analysis
Dayanand V. , Complex Networks
Dayanand V. , Artificial Intelligence
Jevitha K. P. ,Web Security
Jevitha K. P. , Android Security
Jevitha K. P. , Web & Mobile Application Development
Nalinadevi K. ,Wireless Networks
Nalinadevi K. , Discrete Tomography
Nalinadevi K. , Cognitive Radio Networks
Dhanya M. Dhanalakshmy ,Image Processing
Gayathri V. ,Image Processing
Gayathri V. , Medical Image Analysis
Gayathri V. , Pattern Recognition
Gayathri V. , Machine Learning
Dr. Siva Ratna Kumari Narisetti ,-
Dr. Gowtham R. ,Web Security
Dr. Gowtham R. , Internet Computing
Raghesh Krishnan K. ,Image Processing
Raghesh Krishnan K. , Biomedical Image Classification with NLP
Dr. Arun Kumar C. ,Bioinformatics
Dr. Arun Kumar C. , Machine Learning
Radhika G. ,Networks
Radhika G. , Wireless Sensor Networks (WSN)
Manjusha R. ,Image Processing
Dr. Padmavathi S. ,Digital Image Processing
Dr. Padmavathi S. , Computer Vision
Dr. Padmavathi S. , Digital Image Inpainting
Dr. Madhusudana Rao Nalluri ,Machine Learning
